species,taxid,accession,hit_subject,identity,query_coverage,alignment_length,e_value,bitscore
Macrosiphum euphorbiae,13131,MN320040,"Macrosiphum euphorbiae voucher NIBGE APH-00556 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KY323033,"Macrosiphum euphorbiae voucher MeKm5 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN319903,"Macrosiphum euphorbiae voucher NIBGE APH-00554 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum sp. C1774,486035,EU189671,"Macrosiphum sp. C1774 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KR032429,"Macrosiphum euphorbiae voucher CNC#HEM071402 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,EU701729,"Macrosiphum euphorbiae voucher CNC#HEM051851 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KY323034,"Macrosiphum euphorbiae voucher MeKm3 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN320058,"Macrosiphum euphorbiae voucher NIBGE APH-00525 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MT821481,"Macrosiphum euphorbiae isolate Shimla cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KJ090564,"Macrosiphum euphorbiae voucher BIOUG03250-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN319872,"Macrosiphum euphorbiae voucher NIBGE APH-00560 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum daphnidis,527747,EU701724,"Macrosiphum daphnidis voucher CNC#HEM054303 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN319878,"Macrosiphum euphorbiae voucher NIBGE APH-00558 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN320016,"Macrosiphum euphorbiae voucher NIBGE APH-00562 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KF639478,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1232/chasses1232-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN320310,"Macrosiphum euphorbiae voucher NIBGE APH-00561 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MZ486436,"Macrosiphum euphorbiae isolate AJ2 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum hellebori,384672,DQ499037,"Macrosiphum hellebori isolate 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MK547613,"Macrosiphum euphorbiae isolate OAI721 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum hellebori,384672,ON929000,"Macrosiphum hellebori cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,GU668719,"Macrosiphum euphorbiae voucher CNC#HEM059982 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MT651328,"Macrosiphum euphorbiae isolate IND01DL cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN320052,"Macrosiphum euphorbiae voucher NIBGE APH-00524 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MN320246,"Macrosiphum euphorbiae voucher NIBGE APH-00555 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KF639479,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1248/chasses1248-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,KF639472,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1029/chasses1029-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MT516422,"Macrosiphum euphorbiae voucher GTB416DN3023 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum hellebori,384672,KX631509,"Macrosiphum hellebori cytochrome oxidase subunit 1 (CO1) gene, partial cds; mitochondrial",0.975,0.998,596,0.0,559.0
Macrosiphum sp. BOLD-2016,1889697,KR574730,"Macrosiphum sp. BOLD-2016 voucher BIOUG09236-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.993,593,0.0,558.0
Macrosiphum euphorbiae,13131,MN320256,"Macrosiphum euphorbiae voucher NIBGE APH-00208 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.992,592,0.0,555.0
Macrosiphum sp.,2962259,ON929002,"Macrosiphum sp. cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",0.975,0.95,567,0.0,533.0
Macrosiphum sp. BOLD-2016,1889697,KR582542,"Macrosiphum sp. BOLD-2016 voucher BIOUG16018-A12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.95,567,0.0,532.0
Macrosiphum sp. BOLD-2016,1889697,KR560079,"Macrosiphum sp. BOLD-2016 voucher BIOUG08498-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.928,554,0.0,519.0
Macrosiphum sp. BOLD-2016,1889697,KR583697,"Macrosiphum sp. BOLD-2016 voucher BIOUG05111-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.923,551,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR560519,"Macrosiphum sp. BOLD-2016 voucher BIOUG05090-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.923,551,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR578840,"Macrosiphum sp. BOLD-2016 voucher BIOUG05111-G09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,0.923,551,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR566505,"Macrosiphum sp. BOLD-2016 voucher BIOUG05961-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.961,574,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR573985,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.96,573,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR582416,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.961,574,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR574090,"Macrosiphum sp. BOLD-2016 voucher BIOUG09237-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.961,574,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR565793,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.961,574,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR571108,"Macrosiphum sp. BOLD-2016 voucher BIOUG05152-A01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.961,574,0.0,536.0
Macrosiphum sp. BOLD-2016,1889697,KR583968,"Macrosiphum sp. BOLD-2016 voucher BIOUG09177-D03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.96,573,0.0,535.0
Macrosiphum sp. BOLD-2016,1889697,KR576529,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.96,573,0.0,535.0
Macrosiphum sp. BOLD-2016,1889697,KR562228,"Macrosiphum sp. BOLD-2016 voucher BIOUG05152-A03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.95,567,0.0,529.0
Macrosiphum sp. BOLD-2016,1889697,KR565822,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-A12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.913,545,0.0,513.0
Macrosiphum gei,994499,KR029964,"Macrosiphum gei cytochrome c oxidase subunit 1 (CO1) gene, partial cds; mitochondrial",0.974,0.913,545,0.0,511.0
Macrosiphum sp. BOLD-2016,1889697,KR571323,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.91,543,0.0,510.0
Macrosiphum sp. BIOUG20372-E06,2180614,MF831153,"Macrosiphum sp. BIOUG20372-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.974,0.903,539,0.0,506.0
Macrosiphum euphorbiae,13131,KF639473,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1080/chasses1080-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum sp. BOLD-2016,1889697,KR572605,"Macrosiphum sp. BOLD-2016 voucher 10BBCHEM-0260 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum zionense,1863059,MF831135,"Macrosiphum zionense voucher 10BBCHEM-0395 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum euphorbiae,13131,JF883839,"Macrosiphum euphorbiae voucher CNC#HEM070715 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum euphorbiae,13131,KR033248,"Macrosiphum euphorbiae voucher CNC#HEM056697 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum sp. BOLD-2016,1889697,KR581782,"Macrosiphum sp. BOLD-2016 voucher 10BBCHEM-0587 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum euphorbiae,13131,KF639476,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1195/chasses1195-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,1.0,597,0.0,557.0
Macrosiphum euphorbiae,13131,MN319882,"Macrosiphum euphorbiae voucher NIBGE APH-00559 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.995,594,0.0,555.0
Macrosiphum sp. BOLD-2016,1889697,KR562935,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.975,582,0.0,544.0
Macrosiphum sp. BOLD-2016,1889697,KR574378,"Macrosiphum sp. BOLD-2016 voucher BIOUG05100-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.948,566,0.0,528.0
Macrosiphum zionense,1863059,KR568068,"Macrosiphum zionense voucher BIOUG09237-A12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.945,564,0.0,526.0
Macrosiphum sp. BOLD-2016,1889697,KR573184,"Macrosiphum sp. BOLD-2016 voucher BIOUG09177-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.943,563,0.0,525.0
Macrosiphum euphorbiae,13131,MH821971,"Macrosiphum euphorbiae voucher HL287 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.973,0.938,560,0.0,523.0
Macrosiphum euphorbiae,13131,MH821976,"Macrosiphum euphorbiae voucher HLshujia6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.973,0.938,560,0.0,523.0
Macrosiphum euphorbiae,13131,MH821975,"Macrosiphum euphorbiae voucher HLshujia489 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.973,0.938,560,0.0,523.0
Macrosiphum sp. BIOUG21027-C01,2180616,MF836451,"Macrosiphum sp. BIOUG21027-C01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.938,560,0.0,522.0
Macrosiphum zionense,1863059,KR566048,"Macrosiphum zionense voucher BIOUG09237-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.935,558,0.0,520.0
Macrosiphum sp. BOLD-2016,1889697,KR562135,"Macrosiphum sp. BOLD-2016 voucher BIOUG09176-F02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.935,558,0.0,520.0
Macrosiphum sp. BOLD-2016,1889697,KR562213,"Macrosiphum sp. BOLD-2016 voucher BIOUG09177-A01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.931,556,0.0,518.0
Macrosiphum sp. BOLD-2016,1889697,KR578367,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR568358,"Macrosiphum sp. BOLD-2016 voucher BIOUG08862-H07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR578519,"Macrosiphum sp. BOLD-2016 voucher BIOUG09178-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR560199,"Macrosiphum sp. BOLD-2016 voucher BIOUG09176-H03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR560921,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR564592,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR564435,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR573332,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-E03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.93,555,0.0,517.0
Macrosiphum sp. BOLD-2016,1889697,KR564300,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-H01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR564512,"Macrosiphum sp. BOLD-2016 voucher BIOUG09176-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum valerianae,1304392,KU567711,"Macrosiphum valerianae voucher BIOUG07986-E09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR569912,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR570039,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-F11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR582841,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR578432,"Macrosiphum sp. BOLD-2016 voucher BIOUG16021-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR566668,"Macrosiphum sp. BOLD-2016 voucher BIOUG09175-B06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR570813,"Macrosiphum sp. BOLD-2016 voucher BIOUG09161-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR566041,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-G03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR570790,"Macrosiphum sp. BOLD-2016 voucher BIOUG09177-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,516.0
Macrosiphum sp. BOLD-2016,1889697,KR569533,"Macrosiphum sp. BOLD-2016 voucher BIOUG09176-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR566372,"Macrosiphum sp. BOLD-2016 voucher BIOUG09461-H09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.928,554,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR574776,"Macrosiphum sp. BOLD-2016 voucher BIOUG08862-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR579600,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.918,548,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR562309,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-F07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR584355,"Macrosiphum sp. BOLD-2016 voucher BIOUG09237-E09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR582934,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR568666,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-G06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,515.0
Macrosiphum zionense,1863059,KR568925,"Macrosiphum zionense voucher BIOUG09237-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum zionense,1863059,KR564912,"Macrosiphum zionense voucher BIOUG09237-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR572463,"Macrosiphum sp. BOLD-2016 voucher BIOUG09175-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.926,553,0.0,515.0
Macrosiphum sp. BOLD-2016,1889697,KR569287,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-B05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.925,552,0.0,514.0
Macrosiphum sp. BOLD-2016,1889697,KR565913,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR566432,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR570294,"Macrosiphum sp. BOLD-2016 voucher BIOUG08884-D09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR572109,"Macrosiphum sp. BOLD-2016 voucher BIOUG09178-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR567396,"Macrosiphum sp. BOLD-2016 voucher BIOUG05116-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR578351,"Macrosiphum sp. BOLD-2016 voucher BIOUG05090-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR581999,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-F03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR563591,"Macrosiphum sp. BOLD-2016 voucher BIOUG05116-E08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR577997,"Macrosiphum sp. BOLD-2016 voucher BIOUG09178-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR565579,"Macrosiphum sp. BOLD-2016 voucher BIOUG09175-F02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR569921,"Macrosiphum sp. BOLD-2016 voucher BIOUG08791-H07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR560996,"Macrosiphum sp. BOLD-2016 voucher BIOUG16056-F03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
Macrosiphum sp. BOLD-2016,1889697,KR565363,"Macrosiphum sp. BOLD-2016 voucher BIOUG08734-A01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.973,0.923,551,0.0,513.0
